BARABBA,BARABBA SA 5460
CALOMBA,CALOMBA SA 5501
DUBLIN,DUBLIN SA 5501
FISCHER,FISCHER SA 5502
GRACE PLAINS,GRACE PLAINS SA 5502
KORUNYE,KORUNYE SA 5502
LEWISTON,LEWISTON SA 5501
LONG PLAIN,LONG PLAINS SA 5501
LONG PLAINS,LONG PLAINS SA 5501
LOWER LIGHT,LOWER LIGHT SA 5501
MALLALA,MALLALA SA 5502
MIDDLE BEACH,MIDDLE BEACH SA 5501
PARHAM,PARHAM SA 5501
PORT GAWLER,PORT GAWLER SA 5501
REDBANKS,REDBANKS SA 5502
REEVES PLAINS,REEVES PLAINS SA 5502
THOMPSON BEACH,THOMPSON BEACH SA 5501
TWO WELLS,TWO WELLS SA 5501
WEBB BEACH,WEBB BEACH SA 5501
WILD HORSE PLAINS,WILD HORSE PLAINS SA 5501
WINDSOR,WINDSOR SA 5501
